/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : Standard
  Data      : Loiss
  File Name : Loiss.RAW

# Profile Datafile
          comment             =  
          date & time         = 08-01-22 14:07:26 

# Measurement Condition
    X-ray tube
          target              = Cu 
          voltage             = 40.0 (kV)
          current             = 30.0 (mA)
    Slits
          divergence slit     = 1.00000 (deg) 
          scatter slit        = 1.00000 (deg) 
          receiving slit      = 0.30000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =    7.000 -   70.000 
          scan mode           = Continuous Scan 
          scan speed          =   2.0000 (deg/min) 
          sampling pitch      =   0.0200 (deg) 
          preset time         =   0.60 (sec) 

# Data      [ Total No. = 3151 ]
  <2Theta>   <   I   >
     7.0000        10
     7.0200         6
     7.0400         4
     7.0600         6
     7.0800         4
     7.1000         6
     7.1200         8
     7.1400         8
     7.1600         8
     7.1800         6
     7.2000         8
     7.2200         4
     7.2400         0
     7.2600         6
     7.2800         6
     7.3000        16
     7.3200         4
     7.3400         4
     7.3600         8
     7.3800        14
     7.4000        10
     7.4200        10
     7.4400         8
     7.4600         8
     7.4800        12
     7.5000        12
     7.5200         4
     7.5400        10
     7.5600        12
     7.5800         6
     7.6000         6
     7.6200         8
     7.6400         4
     7.6600         8
     7.6800         6
     7.7000         8
     7.7200         6
     7.7400         6
     7.7600         4
     7.7800        10
     7.8000         6
     7.8200         6
     7.8400         6
     7.8600        10
     7.8800         6
     7.9000        10
     7.9200         2
     7.9400         6
     7.9600        12
     7.9800         4
     8.0000         8
     8.0200         6
     8.0400         6
     8.0600         8
     8.0800         4
     8.1000        10
     8.1200         4
     8.1400         8
     8.1600         2
     8.1800        10
     8.2000         8
     8.2200         6
     8.2400         4
     8.2600         4
     8.2800        10
     8.3000         8
     8.3200        10
     8.3400         8
     8.3600        10
     8.3800         8
     8.4000         6
     8.4200         4
     8.4400         8
     8.4600         6
     8.4800        12
     8.5000        12
     8.5200         6
     8.5400         6
     8.5600        10
     8.5800         4
     8.6000        10
     8.6200        10
     8.6400         8
     8.6600         8
     8.6800         8
     8.7000        12
     8.7200        16
     8.7400        10
     8.7600        12
     8.7800         8
     8.8000         4
     8.8200         6
     8.8400         8
     8.8600         8
     8.8800        10
     8.9000         8
     8.9200         6
     8.9400        10
     8.9600         6
     8.9800        14
     9.0000        14
     9.0200        12
     9.0400        14
     9.0600        12
     9.0800         6
     9.1000        10
     9.1200        14
     9.1400         8
     9.1600        10
     9.1800        12
     9.2000         8
     9.2200         4
     9.2400         4
     9.2600        10
     9.2800        18
     9.3000        10
     9.3200        12
     9.3400         8
     9.3600        12
     9.3800        10
     9.4000         6
     9.4200        12
     9.4400        14
     9.4600         8
     9.4800        18
     9.5000        10
     9.5200        10
     9.5400        12
     9.5600        10
     9.5800        12
     9.6000        12
     9.6200         8
     9.6400        10
     9.6600        16
     9.6800        20
     9.7000        10
     9.7200         8
     9.7400        14
     9.7600        10
     9.7800        10
     9.8000        16
     9.8200        20
     9.8400        14
     9.8600        12
     9.8800        10
     9.9000        10
     9.9200        12
     9.9400        16
     9.9600         4
     9.9800        10
    10.0000        10
    10.0200        10
    10.0400        10
    10.0600         8
    10.0800        12
    10.1000         8
    10.1200        10
    10.1400        12
    10.1600        12
    10.1800        10
    10.2000         8
    10.2200         6
    10.2400        16
    10.2600        14
    10.2800        10
    10.3000        12
    10.3200        10
    10.3400        12
    10.3600         8
    10.3800        14
    10.4000        10
    10.4200         6
    10.4400        14
    10.4600        14
    10.4800        16
    10.5000        14
    10.5200        18
    10.5400        20
    10.5600        10
    10.5800        16
    10.6000        20
    10.6200        10
    10.6400        12
    10.6600        14
    10.6800        12
    10.7000        14
    10.7200        10
    10.7400        16
    10.7600        18
    10.7800        12
    10.8000         8
    10.8200        10
    10.8400        12
    10.8600        14
    10.8800        12
    10.9000        18
    10.9200        16
    10.9400        16
    10.9600        10
    10.9800        12
    11.0000         8
    11.0200        10
    11.0400         8
    11.0600        24
    11.0800        12
    11.1000        14
    11.1200        16
    11.1400        10
    11.1600         6
    11.1800        18
    11.2000        14
    11.2200        18
    11.2400        14
    11.2600        14
    11.2800        14
    11.3000        16
    11.3200        20
    11.3400        16
    11.3600        14
    11.3800        14
    11.4000        12
    11.4200        14
    11.4400        16
    11.4600        16
    11.4800        20
    11.5000        12
    11.5200         8
    11.5400        16
    11.5600        16
    11.5800        20
    11.6000        20
    11.6200        18
    11.6400        16
    11.6600        20
    11.6800        14
    11.7000        16
    11.7200         8
    11.7400        14
    11.7600        10
    11.7800        14
    11.8000        22
    11.8200        16
    11.8400        14
    11.8600        12
    11.8800        16
    11.9000        14
    11.9200        10
    11.9400        16
    11.9600        14
    11.9800        12
    12.0000        18
    12.0200        12
    12.0400        10
    12.0600         6
    12.0800        12
    12.1000        10
    12.1200        10
    12.1400        14
    12.1600         6
    12.1800        16
    12.2000        14
    12.2200         8
    12.2400        10
    12.2600         6
    12.2800         8
    12.3000        16
    12.3200        12
    12.3400        16
    12.3600         8
    12.3800        12
    12.4000        24
    12.4200         6
    12.4400         6
    12.4600        12
    12.4800         6
    12.5000        12
    12.5200         6
    12.5400        10
    12.5600         8
    12.5800        10
    12.6000        12
    12.6200         4
    12.6400        12
    12.6600         6
    12.6800        16
    12.7000        12
    12.7200        14
    12.7400        12
    12.7600         6
    12.7800        16
    12.8000         2
    12.8200        10
    12.8400        14
    12.8600        10
    12.8800        10
    12.9000        10
