/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : Standard
  Data      : ABKS-5MHCl
  File Name : ABKS-5MHCl.RAW

# Profile Datafile
          comment             = ok 
          date & time         = 05-31-21 15:48:04 

# Measurement Condition
    X-ray tube
          target              = Cu 
          voltage             = 40.0 (kV)
          current             = 30.0 (mA)
    Slits
          divergence slit     = 1.00000 (deg) 
          scatter slit        = 1.00000 (deg) 
          receiving slit      = 0.30000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =    7.000 -   70.000 
          scan mode           = Continuous Scan 
          scan speed          =   2.0000 (deg/min) 
          sampling pitch      =   0.0200 (deg) 
          preset time         =   0.60 (sec) 

# Data      [ Total No. = 3151 ]
  <2Theta>   <   I   >
     7.0000        18
     7.0200        24
     7.0400        22
     7.0600        30
     7.0800        20
     7.1000        28
     7.1200        26
     7.1400        24
     7.1600        34
     7.1800        24
     7.2000        26
     7.2200        20
     7.2400        34
     7.2600        30
     7.2800        18
     7.3000        18
     7.3200        20
     7.3400        24
     7.3600        28
     7.3800        26
     7.4000        22
     7.4200        22
     7.4400        16
     7.4600        30
     7.4800        24
     7.5000        20
     7.5200        26
     7.5400        24
     7.5600        16
     7.5800        26
     7.6000        22
     7.6200        28
     7.6400        24
     7.6600        24
     7.6800        24
     7.7000        20
     7.7200        26
     7.7400        22
     7.7600        22
     7.7800        24
     7.8000        22
     7.8200        16
     7.8400        26
     7.8600        26
     7.8800        22
     7.9000        22
     7.9200        24
     7.9400        18
     7.9600        24
     7.9800        26
     8.0000        26
     8.0200        24
     8.0400        12
     8.0600        24
     8.0800        28
     8.1000        20
     8.1200        28
     8.1400        16
     8.1600        20
     8.1800        34
     8.2000        22
     8.2200        34
     8.2400        24
     8.2600        18
     8.2800        20
     8.3000        16
     8.3200        26
     8.3400        26
     8.3600        22
     8.3800        36
     8.4000        24
     8.4200        26
     8.4400        26
     8.4600        24
     8.4800        20
     8.5000        20
     8.5200        18
     8.5400        32
     8.5600        14
     8.5800        26
     8.6000        30
     8.6200        16
     8.6400        16
     8.6600        24
     8.6800        24
     8.7000        22
     8.7200        30
     8.7400        26
     8.7600        24
     8.7800        18
     8.8000        16
     8.8200        18
     8.8400        30
     8.8600        18
     8.8800        20
     8.9000        18
     8.9200        28
     8.9400        20
     8.9600        30
     8.9800        12
     9.0000        20
     9.0200        20
     9.0400        26
     9.0600        24
     9.0800        24
     9.1000        20
     9.1200        18
     9.1400        18
     9.1600        26
     9.1800        28
     9.2000        18
     9.2200        26
     9.2400        22
     9.2600        28
     9.2800        24
     9.3000        24
     9.3200        20
     9.3400        12
     9.3600        24
     9.3800        22
     9.4000        18
     9.4200        20
     9.4400        16
     9.4600        38
     9.4800        22
     9.5000        22
     9.5200        20
     9.5400        20
     9.5600        16
     9.5800        26
     9.6000        22
     9.6200        16
     9.6400        22
     9.6600        20
     9.6800        18
     9.7000        32
     9.7200        18
     9.7400        16
     9.7600        18
     9.7800        14
     9.8000        24
     9.8200        18
     9.8400        26
     9.8600        18
     9.8800        16
     9.9000        24
     9.9200        20
     9.9400        14
     9.9600        18
     9.9800        18
    10.0000        22
    10.0200        22
    10.0400        24
    10.0600        22
    10.0800        26
    10.1000        20
    10.1200        22
    10.1400        24
    10.1600        22
    10.1800        14
    10.2000        22
    10.2200        16
    10.2400        22
    10.2600        28
    10.2800        20
    10.3000        22
    10.3200        14
    10.3400        14
    10.3600        20
    10.3800        22
    10.4000        20
    10.4200        22
    10.4400        14
    10.4600        26
    10.4800        22
    10.5000        16
    10.5200        22
    10.5400        20
    10.5600        20
    10.5800        18
    10.6000        24
    10.6200        24
    10.6400        18
    10.6600        22
    10.6800        20
    10.7000        18
    10.7200        24
    10.7400        20
    10.7600        20
    10.7800        24
    10.8000        22
    10.8200        20
    10.8400        12
    10.8600        12
    10.8800        18
    10.9000        20
    10.9200        20
    10.9400        22
    10.9600        16
    10.9800        20
    11.0000        24
    11.0200        16
    11.0400        24
    11.0600        12
    11.0800        12
    11.1000        16
    11.1200        12
    11.1400        24
    11.1600        12
    11.1800        18
    11.2000        20
    11.2200        22
    11.2400        18
    11.2600        20
    11.2800        12
    11.3000        12
    11.3200        24
    11.3400        20
    11.3600        14
    11.3800        20
    11.4000        16
    11.4200        24
    11.4400        22
    11.4600        18
    11.4800        20
    11.5000        20
    11.5200        16
    11.5400        18
    11.5600        22
    11.5800        24
    11.6000        16
    11.6200        18
    11.6400        14
    11.6600        10
    11.6800        18
    11.7000        20
    11.7200        16
    11.7400        16
    11.7600        20
    11.7800        20
    11.8000        18
    11.8200        22
    11.8400        20
    11.8600        18
    11.8800        14
    11.9000        20
    11.9200        26
    11.9400        18
    11.9600        18
    11.9800        26
    12.0000        18
    12.0200        20
    12.0400        18
    12.0600        12
    12.0800        10
    12.1000        16
    12.1200        18
    12.1400        12
    12.1600        12
    12.1800        28
    12.2000        22
    12.2200        26
    12.2400        22
    12.2600        26
    12.2800        16
    12.3000        24
    12.3200        24
    12.3400        20
    12.3600        14
    12.3800        12
    12.4000        20
    12.4200        26
    12.4400        18
    12.4600        28
    12.4800        16
    12.5000        10
    12.5200        20
    12.5400        20
    12.5600        10
    12.5800        24
    12.6000        12
    12.6200        14
    12.6400        24
    12.6600        16
    12.6800        26
    12.7000        14
    12.7200        16
    12.7400        16
    12.7600        20
    12.7800        18
    12.8000        22
    12.8200        22
    12.8400        24
    12.8600        12
    12.8800        18
    12.9000        12
    12.9200        14
    12.9400        18
    12.9600        18
    12.9800         8
    13.0000        12
    13.0200        20
    13.0400        16
    13.0600        20
    13.0800        12
    13.1000        16
    13.1200        14
    13.1400        20
    13.1600        14
    13.1800        20
    13.2000        20
    13.2200        16
    13.2400        16
    13.2600        20
    13.2800        16
    13.3000        14
    13.3200        18
    13.3400        10
    13.3600        28
    13.3800        20
    13.4000        16
    13.4200        14
    13.4400        18
    13.4600        22
    13.4800        10
    13.5000        20
    13.5200        16
    13.5400        12
    13.5600        26
    13.5800        24
    13.6000        18
    13.6200        16
    13.6400        16
    13.6600        16
    13.6800        20
    13.7000        18
    13.7200        16
    13.7400        16
    13.7600        16
    13.7800        16
    13.8000        12
    13.8200        18
    13.8400        14
    13.8600        18
    13.8800        16
    13.9000        12
    13.9200        16
    13.9400        12
    13.9600        14
    13.9800        22
    14.0000        14
    14.0200        24
    14.0400        12
    14.0600        16
    14.0800        14
    14.1000        14
    14.1200        20
    14.1400        16
    14.1600        18
    14.1800        18
    14.2000        14
    14.2200        14
    14.2400        18
    14.2600        12
    14.2800        14
    14.3000        10
    14.3200        12
    14.3400        14
    14.3600        10
    14.3800        12
    14.4000        16
    14.4200        12
    14.4400        20
    14.4600        16
    14.4800        18
    14.5000        16
    14.5200        18
    14.5400        24
    14.5600        14
    14.5800        14
    14.6000        14
    14.6200        16
    14.6400        14
    14.6600        14
    14.6800        18
    14.7000        18
    14.7200        14
    14.7400         6
    14.7600        18
    14.7800        10
    14.8000        20
    14.8200        18
    14.8400         6
    14.8600        22
    14.8800        14
    14.9000        18
    14.9200        12
    14.9400        12
    14.9600        16
    14.9800        12
    15.0000        20
    15.0200        16
    15.0400        22
    15.0600        22
    15.0800        24
    15.1000        18
    15.1200        22
    15.1400        20
    15.1600        16
    15.1800        16
    15.2000        10
    15.2200        10
    15.2400        14
    15.2600        12
    15.2800         6
    15.3000        12
    15.3200        14
    15.3400        12
    15.3600        10
    15.3800        18
    15.4000        18
    15.4200        16
    15.4400        12
    15.4600         6
    15.4800        14
    15.5000        16
    15.5200        18
    15.5400        12
    15.5600        10
    15.5800        24
    15.6000        18
    15.6200        20
    15.6400        20
    15.6600        22
    15.6800         8
    15.7000        10
    15.7200        12
    15.7400        18
    15.7600        22
    15.7800        12
    15.8000        26
    15.8200        10
    15.8400        18
    15.8600        16
    15.8800        16
    15.9000        16
    15.9200        20
    15.9400        20
    15.9600        12
    15.9800        22
    16.0000        18
    16.0200        20
    16.0400        12
    16.0600        18
    16.0800        12
    16.1000        14
    16.1200        16
    16.1400        16
    16.1600        14
    16.1800        20
    16.2000        24
    16.2200        14
    16.2400        22
    16.2600        16
    16.2800        16
    16.3000        22
    16.3200        12
    16.3400        14
    16.3600        16
    16.3800        20
    16.4000        16
    16.4200        16
    16.4400        18
    16.4600        16
    16.4800        14
    16.5000        24
    16.5200        16
    16.5400        20
    16.5600        12
    16.5800        16
    16.6000        18
    16.6200        12
    16.6400        12
    16.6600        12
    16.6800        20
    16.7000        14
    16.7200        24
    16.7400        16
    16.7600        12
    16.7800        26
    16.8000        18
    16.8200        18
    16.8400        20
    16.8600        18
    16.8800        16
    16.9000        20
    16.9200         8
    16.9400        18
    16.9600        24
    16.9800        16
    17.0000        14
    17.0200        14
    17.0400        20
    17.0600         6
    17.0800        24
    17.1000        16
    17.1200         6
    17.1400        14
    17.1600        16
    17.1800        18
    17.2000        20
    17.2200        14
    17.2400        16
    17.2600        12
    17.2800        10
    17.3000        14
    17.3200        14
    17.3400        14
    17.3600        18
    17.3800        16
    17.4000        20
    17.4200        20
    17.4400        16
    17.4600        16
    17.4800        18
    17.5000        12
    17.5200        12
    17.5400        14
    17.5600        20
    17.5800        16
    17.6000        16
    17.6200        28
    17.6400        14
    17.6600        12
    17.6800        12
    17.7000        22
    17.7200        22
    17.7400        26
    17.7600        16
    17.7800        26
    17.8000        22
    17.8200        16
    17.8400        10
    17.8600        22
    17.8800        14
    17.9000        10
    17.9200        24
    17.9400        16
    17.9600        18
    17.9800        24
    18.0000        10
    18.0200        14
    18.0400        10
    18.0600        14
    18.0800        20
    18.1000        12
    18.1200        14
    18.1400        22
    18.1600        22
    18.1800        18
    18.2000        20
    18.2200        14
    18.2400        16
    18.2600        24
    18.2800        12
    18.3000        16
    18.3200        14
    18.3400        16
    18.3600        18
    18.3800        16
    18.4000        14
    18.4200        20
    18.4400        18
    18.4600        14
    18.4800        18
