Treatment_Type,Species,Treatment_Level,Days,UTS
NaOH,Syagrus coronata,0% NaOH,120,0.7908557666849833
NaOH,Syagrus coronata,0% NaOH,120,0.3081748994076988
NaOH,Syagrus coronata,0% NaOH,120,0.3683298090540142
NaOH,Syagrus coronata,0% NaOH,30,23.681396802736636
NaOH,Syagrus coronata,0% NaOH,30,18.07624264916113
NaOH,Syagrus coronata,0% NaOH,30,32.90656055321531
NaOH,Syagrus coronata,0% NaOH,60,2.524201641569276
NaOH,Syagrus coronata,0% NaOH,60,1.8707977425808746
NaOH,Syagrus coronata,0% NaOH,60,1.6882236801294839
NaOH,Syagrus coronata,0% NaOH,90,0.8226287521685466
NaOH,Syagrus coronata,0% NaOH,90,1.3613335741247834
NaOH,Syagrus coronata,0% NaOH,90,0.3116763081557205
NaOH,Syagrus coronata,3% NaOH,120,0.6750348241428464
NaOH,Syagrus coronata,3% NaOH,120,0.2298706674064863
NaOH,Syagrus coronata,3% NaOH,120,0.9409905149577326
NaOH,Syagrus coronata,3% NaOH,150,0.5785586344170527
NaOH,Syagrus coronata,3% NaOH,150,0.5228430866500472
NaOH,Syagrus coronata,3% NaOH,30,23.535622192549297
NaOH,Syagrus coronata,3% NaOH,30,15.736659326867848
NaOH,Syagrus coronata,3% NaOH,30,15.53587935363735
NaOH,Syagrus coronata,3% NaOH,60,3.122653936517513
NaOH,Syagrus coronata,3% NaOH,60,0.38426510931167734
NaOH,Syagrus coronata,3% NaOH,90,2.0254567353692496
NaOH,Syagrus coronata,3% NaOH,90,0.5901818967498795
NaOH,Syagrus coronata,3% NaOH,90,1.4072862040048808
NaOH,Syagrus coronata,6% NaOH,120,0.4885589898421451
NaOH,Syagrus coronata,6% NaOH,120,0.1798097179287102
NaOH,Syagrus coronata,6% NaOH,120,0.38434574781617725
NaOH,Syagrus coronata,6% NaOH,150,0.2250889455607031
NaOH,Syagrus coronata,6% NaOH,150,0.0434740568996795
NaOH,Syagrus coronata,6% NaOH,150,0.06852575229764646
NaOH,Syagrus coronata,6% NaOH,30,13.636842572664854
NaOH,Syagrus coronata,6% NaOH,30,9.605886424434777
NaOH,Syagrus coronata,6% NaOH,30,12.152147648471892
NaOH,Syagrus coronata,6% NaOH,60,11.592912546212103
NaOH,Syagrus coronata,6% NaOH,60,5.351533324527889
NaOH,Syagrus coronata,6% NaOH,60,2.773520335666289
NaOH,Syagrus coronata,6% NaOH,90,1.9981372588710489
NaOH,Syagrus coronata,6% NaOH,90,0.4600426681718932
NaOH,Syagrus coronata,6% NaOH,90,0.7870077538386725
NaOH,Syagrus coronata,9% NaOH,120,0.36808930825111974
NaOH,Syagrus coronata,9% NaOH,120,0.3734227672329548
NaOH,Syagrus coronata,9% NaOH,120,0.164345516302599
NaOH,Syagrus coronata,9% NaOH,150,0.6116105182877722
NaOH,Syagrus coronata,9% NaOH,150,0.4880383763394089
NaOH,Syagrus coronata,9% NaOH,150,0.6643410266776764
NaOH,Syagrus coronata,9% NaOH,30,12.137116348290991
NaOH,Syagrus coronata,9% NaOH,30,12.834069283841151
NaOH,Syagrus coronata,9% NaOH,30,15.795993704363113
NaOH,Syagrus coronata,9% NaOH,60,5.6905446709984675
NaOH,Syagrus coronata,9% NaOH,60,8.536775472932767
NaOH,Syagrus coronata,9% NaOH,60,6.29673684766809
NaOH,Syagrus coronata,9% NaOH,90,6.6994568568254005
NaOH,Syagrus coronata,9% NaOH,90,3.0807403054154365
NaOH,Syagrus coronata,9% NaOH,90,5.9654356739961845
