Tratamentos,Tempos,Repetição,Resistencia_tracao,Rigidez_secante,Deformação
0.0,0.0,1.0,33.54581741,12.56066999,6.289505263
0.0,0.0,2.0,12.48725548,11.95180807,2.460505263
0.0,0.0,3.0,4.437575372,9.569446198,1.092068421
0.0,0.0,4.0,6.119459306,9.867214655,1.460526316
0.0,0.0,5.0,11.05306157,13.9314494,1.868431579
0.0,0.0,6.0,23.09151309,11.32309061,4.802621053
0.0,0.0,7.0,9.575571125,7.200905704,3.131615789
0.0,1.0,1.0,8.715014862,7.721833026,2.6579
0.0,1.0,2.0,10.57479547,6.61774212,3.763163158
0.0,1.0,3.0,14.04249257,7.639258823,4.328963158
0.0,1.0,4.0,9.135927813,4.567473933,4.710505263
0.0,1.0,5.0,7.859920736,4.834296274,3.828915789
0.0,2.0,1.0,9.915639066,5.114394648,4.565805263
0.0,2.0,2.0,6.47079264,5.567981921,2.736847368
0.0,2.0,3.0,0.810052371,0.683885474,2.789463158
0.0,2.0,4.0,5.344244869,3.478239015,3.618410526
0.0,2.0,5.0,2.861590941,1.803411934,3.736831579
0.0,2.0,6.0,9.40122293,9.095125068,2.434257895
0.0,2.0,7.0,5.073558386,5.310398976,2.249968421
0.0,3.0,1.0,13.57931493,13.65404677,2.342110526
0.0,3.0,2.0,7.55066242,5.726258244,3.105310526
0.0,3.0,3.0,2.333422505,2.983088431,1.842121053
0.0,3.0,4.0,4.402929936,4.775920292,2.171078947
0.0,3.0,5.0,5.237111111,5.612897382,2.197331579
0.0,3.0,6.0,1.793650389,1.78348637,2.368421053
0.0,3.0,7.0,4.571838641,2.831372137,3.802636842
0.0,4.0,1.0,5.88897523,6.022962419,2.302610526
0.0,4.0,2.0,13.07930502,12.38589425,2.486842105
0.0,4.0,3.0,12.83808776,12.09345321,2.500005263
0.0,4.0,4.0,5.678321302,4.47709504,2.986857895
0.0,4.0,5.0,1.535307856,1.717450925,2.105242105
0.0,4.0,6.0,2.40216419,2.687107481,2.105273684
0.0,4.0,7.0,5.701428167,5.732727875,2.342142105
0.0,5.0,1.0,0.511675867,1.727880627,0.697384211
0.0,5.0,2.0,0.911756546,1.039397167,2.0658
0.0,5.0,3.0,2.322716207,3.959235683,1.381578947
0.0,5.0,4.0,1.135503185,1.278174866,2.092131579
0.0,5.0,5.0,2.692441614,4.503708439,1.407884211
0.0,5.0,6.0,2.622716207,6.176626701,0.999978947
0.0,5.0,7.0,3.104648266,6.387010881,1.144736842
0.0,6.0,1.0,0.611088464,0.544142355,2.644736842
0.0,6.0,2.0,0.638110403,1.077414936,1.394773684
0.0,6.0,3.0,2.413779193,2.618292121,2.171052632
0.0,6.0,4.0,0.245896674,0.43574148,1.328968421
0.0,6.0,5.0,1.339804671,2.756364974,1.144710526
0.0,6.0,6.0,0.206251946,0.900382772,0.539463158
0.0,6.0,7.0,1.308413305,1.188722776,2.592121053
1.0,1.0,1.0,5.287106865,8.525102583,1.460526316
1.0,1.0,2.0,10.6475782,6.980599072,3.592105263
1.0,1.0,3.0,7.370489738,6.764906274,2.565815789
1.0,1.0,4.0,8.066670913,10.53839499,1.802647368
1.0,1.0,5.0,2.958451522,4.041975595,1.7237
1.0,1.0,6.0,,,
1.0,1.0,7.0,,,
1.0,2.0,1.0,1.68659448,3.820961789,1.039510526
1.0,2.0,2.0,26.97307714,31.55238652,2.013210526
1.0,2.0,3.0,2.53804954,3.268142964,1.8289
1.0,2.0,4.0,7.886319887,6.81880934,2.723684211
1.0,2.0,5.0,11.95206653,7.453612647,3.776305263
1.0,2.0,6.0,11.35918047,17.83391333,1.5
1.0,2.0,7.0,13.09284218,13.0914378,2.355252632
1.0,3.0,1.0,5.931067233,4.825184015,2.894742105
1.0,3.0,2.0,3.018788393,5.145858064,1.381547368
1.0,3.0,3.0,1.709361642,3.776962873,1.065815789
1.0,3.0,4.0,2.350278839,4.78023358,1.157873684
1.0,3.0,5.0,4.713370134,3.36093607,3.302647368
1.0,3.0,6.0,6.699447983,5.79266233,2.723652632
1.0,3.0,7.0,3.002082095,2.952208931,2.394784211
1.0,4.0,1.0,4.596154282,4.673996776,2.315778947
1.0,4.0,2.0,5.785399858,3.76535956,3.618410526
1.0,4.0,3.0,1.771922151,2.157376272,1.934236842
1.0,4.0,4.0,4.928481246,8.243828792,1.407910526
1.0,4.0,5.0,2.720229299,5.23501258,1.223710526
1.0,4.0,6.0,3.820001415,5.179574646,1.736842105
1.0,4.0,7.0,3.641087049,3.103246476,2.763157895
1.0,5.0,1.0,1.654527955,1.987416298,1.960542105
1.0,5.0,2.0,4.616676575,3.253075048,3.342152632
1.0,5.0,3.0,3.511061571,5.236940354,1.578889474
1.0,5.0,4.0,3.986601557,2.865549987,3.276315789
1.0,5.0,5.0,1.551827318,3.428963621,1.065789474
1.0,5.0,6.0,2.264492569,3.117664507,1.710536842
