Criado como novo conjunto de dados;Amostra 007 por Administrator data sexta-feira, julho 11 2025
cm-1;%T
4000,00;69,43
3999,00;69,42
3998,00;69,42
3997,00;69,42
3996,00;69,41
3995,00;69,41
3994,00;69,41
3993,00;69,41
3992,00;69,41
3991,00;69,41
3990,00;69,41
3989,00;69,41
3988,00;69,40
3987,00;69,40
3986,00;69,39
3985,00;69,39
3984,00;69,39
3983,00;69,39
3982,00;69,38
3981,00;69,38
3980,00;69,38
3979,00;69,38
3978,00;69,37
3977,00;69,37
3976,00;69,37
3975,00;69,37
3974,00;69,37
3973,00;69,37
3972,00;69,37
3971,00;69,37
3970,00;69,37
3969,00;69,37
3968,00;69,37
3967,00;69,37
3966,00;69,36
3965,00;69,36
3964,00;69,36
3963,00;69,36
3962,00;69,36
3961,00;69,36
3960,00;69,36
3959,00;69,36
3958,00;69,35
3957,00;69,35
3956,00;69,35
3955,00;69,35
3954,00;69,35
3953,00;69,35
3952,00;69,35
3951,00;69,35
3950,00;69,35
3949,00;69,35
3948,00;69,35
3947,00;69,35
3946,00;69,34
3945,00;69,33
3944,00;69,33
3943,00;69,32
3942,00;69,32
3941,00;69,33
3940,00;69,33
3939,00;69,33
3938,00;69,33
3937,00;69,33
3936,00;69,33
3935,00;69,33
3934,00;69,33
3933,00;69,32
3932,00;69,32
3931,00;69,32
3930,00;69,32
3929,00;69,32
3928,00;69,32
3927,00;69,32
3926,00;69,32
3925,00;69,32
3924,00;69,32
3923,00;69,32
3922,00;69,31
3921,00;69,31
3920,00;69,32
3919,00;69,32
3918,00;69,33
3917,00;69,33
3916,00;69,33
3915,00;69,33
3914,00;69,34
3913,00;69,34
3912,00;69,35
3911,00;69,36
3910,00;69,36
3909,00;69,35
3908,00;69,34
3907,00;69,34
3906,00;69,33
3905,00;69,34
3904,00;69,34
3903,00;69,34
3902,00;69,33
3901,00;69,32
3900,00;69,32
3899,00;69,33
3898,00;69,34
3897,00;69,35
3896,00;69,35
3895,00;69,36
3894,00;69,36
