Treatment_Level,Species,Days,n,mean,std,min,max
0% NaOH,Syagrus coronata,30.0,3,24.888066668371025,7.488432506693243,18.07624264916113,32.90656055321531
0% NaOH,Syagrus coronata,60.0,3,2.0277410214265448,0.4395317765354172,1.6882236801294839,2.524201641569276
0% NaOH,Syagrus coronata,90.0,3,0.8318795448163501,0.5248897759281195,0.3116763081557205,1.3613335741247834
0% NaOH,Syagrus coronata,120.0,3,0.48912015838223205,0.26303599806302663,0.3081748994076988,0.7908557666849833
0% NaOH,Syagrus coronata,150.0,0,,,,
0% NaOH,Syagrus coronata,180.0,0,,,,
0% NaOH,Typha domingensis,30.0,3,4.364204293333334,0.34926475959052067,4.081892427,4.754781316
0% NaOH,Typha domingensis,60.0,3,2.965657466333333,1.5003685688768515,1.989109696,4.693234253
0% NaOH,Typha domingensis,90.0,3,2.454630337333333,0.9227301218350228,1.429782024,3.219433829
0% NaOH,Typha domingensis,120.0,3,1.6149549423333334,0.5623562372881634,0.965721161,1.950349611
0% NaOH,Typha domingensis,150.0,3,1.7260070773333336,0.9514431582001982,0.801239915,2.702052371
0% NaOH,Typha domingensis,180.0,3,0.770990327952583,0.7759456865803751,0.322997876857749,1.66697523
3% NaOH,Syagrus coronata,30.0,3,18.269386957684834,4.56179825409987,15.53587935363735,23.535622192549297
3% NaOH,Syagrus coronata,60.0,2,1.753459522914595,1.9363333092427233,0.38426510931167734,3.122653936517513
3% NaOH,Syagrus coronata,90.0,3,1.34097494537467,0.7199314917818964,0.5901818967498795,2.0254567353692496
3% NaOH,Syagrus coronata,120.0,3,0.6152986688356884,0.3593037233086899,0.2298706674064863,0.9409905149577326
3% NaOH,Syagrus coronata,150.0,2,0.5507008605335499,0.03939684164357259,0.5228430866500472,0.5785586344170527
3% NaOH,Syagrus coronata,180.0,0,,,,
3% NaOH,Typha domingensis,30.0,3,8.994077848549187,0.8176125640301687,8.279640481245579,9.88578202406228
3% NaOH,Typha domingensis,60.0,3,5.219625855154516,0.5577544534216333,4.63764472753008,5.74949610757254
3% NaOH,Typha domingensis,90.0,3,5.689653691908471,2.0154418869680266,4.47602830856334,8.01615852795471
3% NaOH,Typha domingensis,120.0,3,2.694131634819533,0.5996519377713421,2.34180467091295,3.38651380042463
3% NaOH,Typha domingensis,150.0,3,2.5469823071479123,1.1642353429192323,1.23207218683652,3.446723283793347
3% NaOH,Typha domingensis,180.0,3,2.0049186128803966,1.5294944711826397,1.0363949044586,3.76817409766454
6% NaOH,Syagrus coronata,30.0,3,11.798292215190507,2.0386422241250504,9.605886424434777,13.636842572664854
6% NaOH,Syagrus coronata,60.0,3,6.572655402135427,4.534729770027587,2.773520335666289,11.592912546212103
6% NaOH,Syagrus coronata,90.0,3,1.0817292269605383,0.8102958117402822,0.4600426681718932,1.9981372588710489
6% NaOH,Syagrus coronata,120.0,3,0.35090481852901084,0.15706766070856532,0.1798097179287102,0.4885589898421451
6% NaOH,Syagrus coronata,150.0,3,0.11236291825267636,0.09842390352483295,0.0434740568996795,0.2250889455607031
6% NaOH,Syagrus coronata,180.0,0,,,,
6% NaOH,Typha domingensis,30.0,3,4.876707714083509,1.0939063676863947,3.62801840056617,5.66601415428167
6% NaOH,Typha domingensis,60.0,3,5.595388063222459,3.99957719843769,2.70590516631281,10.160191082802548
6% NaOH,Typha domingensis,90.0,3,5.094144845482426,1.665214047375597,3.31376220806794,6.61331634819533
6% NaOH,Typha domingensis,120.0,3,3.0894206180703,2.7326337460833483,1.30829865534324,6.23563906581741
6% NaOH,Typha domingensis,150.0,3,2.253056381221986,1.8074960240245153,0.643787685774947,4.208661004954
6% NaOH,Typha domingensis,180.0,3,0.6510667610285443,0.23329399098904585,0.414090587402689,0.880495399858457
9% NaOH,Syagrus coronata,30.0,3,13.589059778831752,1.942769636971647,12.137116348290991,15.795993704363113
9% NaOH,Syagrus coronata,60.0,3,6.841352330533108,1.4992371268755704,5.6905446709984675,8.536775472932767
9% NaOH,Syagrus coronata,90.0,3,5.2485442787456735,1.9129106942824785,3.0807403054154365,6.6994568568254005
9% NaOH,Syagrus coronata,120.0,3,0.3019525305955579,0.11920100349051035,0.164345516302599,0.3734227672329548
9% NaOH,Syagrus coronata,150.0,3,0.5879966404349525,0.0904923618296609,0.4880383763394089,0.6643410266776764
9% NaOH,Syagrus coronata,180.0,0,,,,
9% NaOH,Typha domingensis,30.0,3,12.27318141,1.9586706539610428,10.03975938,13.69853503
9% NaOH,Typha domingensis,60.0,3,11.225881576666666,2.3830640678527666,9.11451097,13.80982732
9% NaOH,Typha domingensis,90.0,3,6.576200990666667,0.8485591639115375,5.671133758,7.353838641
9% NaOH,Typha domingensis,120.0,3,7.474737909999999,1.768898116675688,5.550168436,9.029496108
9% NaOH,Typha domingensis,150.0,3,5.264614295666667,1.1769397276792908,4.254141543,6.556867657
9% NaOH,Typha domingensis,180.0,3,3.6178145789999996,1.8448503750187597,1.638267516,5.289143666
