panel,Species,Series,n_days,beta_MPa_per_day,t,p,R2,days_used
6A-Resin,Typha domingensis,Untreated,4,-0.0335312565632056,-1.1276075954901177,0.3765744401153065,0.38865942871754355,"30,60,90,120"
6A-Resin,Typha domingensis,Monolayer Resin,4,-0.08439093209314864,-10.339287012329304,0.009225216592902317,0.9816346714353813,"30,60,90,120"
6A-Resin,Typha domingensis,Bilayer Resin,4,-0.04554966998056592,-2.766835996663404,0.10957222243293827,0.7928616270630168,"30,60,90,120"
6A-Resin,Syagrus coronata,Untreated,3,-0.21352952976330897,-1.7663112339872942,0.3279604543137941,0.757273032933875,"30,60,90"
6A-Resin,Syagrus coronata,Monolayer Resin,5,-0.16167871236477604,-2.104161796188027,0.12606492333245192,0.5960954202049445,"30,60,90,120,150"
6A-Resin,Syagrus coronata,Bilayer Resin,4,-0.22132511926667342,-2.136973772124562,0.16607493189117778,0.6954310192203037,"30,60,90,120"
6B-NaOH,Typha domingensis,0% NaOH,6,-0.021452091798955953,-6.8659947410781275,0.0023566080899787107,0.9217862209211125,"30,60,90,120,150,180"
6B-NaOH,Syagrus coronata,0% NaOH,4,-0.24797567002192192,-1.9310352606217096,0.1932208049431948,0.6508926695765065,"30,60,90,120"
6B-NaOH,Typha domingensis,3% NaOH,6,-0.04377071321852639,-4.793934434434729,0.00868654813533609,0.8517519621134063,"30,60,90,120,150,180"
6B-NaOH,Syagrus coronata,3% NaOH,5,-0.12191844349460493,-1.9641410937972044,0.1442682772650818,0.5625451276113277,"30,60,90,120,150"
6B-NaOH,Typha domingensis,6% NaOH,6,-0.03158088003684607,-4.649439230126304,0.009665506224870023,0.8438554290255896,"30,60,90,120,150,180"
6B-NaOH,Syagrus coronata,6% NaOH,5,-0.09864536392494026,-3.9548176685669434,0.028852496447116804,0.8390608258583848,"30,60,90,120,150"
6B-NaOH,Typha domingensis,9% NaOH,6,-0.05739247531301587,-6.218143235668381,0.003404912171568618,0.9062470086188107,"30,60,90,120,150,180"
6B-NaOH,Syagrus coronata,9% NaOH,5,-0.10847175358910384,-5.066843989830394,0.014841570231544553,0.8953716170612349,"30,60,90,120,150"
