Species,Treatment_Level,Days,n,mean,std,min,max
Syagrus coronata,Untreated,30.0,5,13.351339844302903,5.398742559434164,9.134164189667374,20.850648266100496
Syagrus coronata,Untreated,60.0,7,0.6638204428268122,0.5129523318888722,0.11702335456475584,1.5909355980184006
Syagrus coronata,Untreated,90.0,6,0.5395680585043642,0.47924751252514697,0.1455385704175513,1.4034366595895256
Syagrus coronata,Untreated,120.0,0,,,,
Syagrus coronata,Untreated,150.0,0,,,,
Syagrus coronata,Monolayer Resin,30.0,5,23.27375711252654,9.44505534848266,9.607958952583155,35.23109129511677
Syagrus coronata,Monolayer Resin,60.0,7,3.3527647356182384,4.673299757408556,1.0125760792639773,13.869796178343949
Syagrus coronata,Monolayer Resin,90.0,7,0.5900313416236982,0.3748881879463741,0.12253503184713375,1.296069355980184
Syagrus coronata,Monolayer Resin,120.0,7,0.5776511980588414,0.30463225188888066,0.2176065109695683,1.0190644019815995
Syagrus coronata,Monolayer Resin,150.0,7,0.4095070265898291,0.307279518827091,0.07794055201698513,1.0028025477707005
Syagrus coronata,Bilayer Resin,30.0,5,22.37811068648266,6.528944994543984,13.52203255484784,30.675289455060156
Syagrus coronata,Bilayer Resin,60.0,7,3.8923463754928727,1.8679612454229653,1.6974762915782025,7.779999999999999
Syagrus coronata,Bilayer Resin,90.0,7,0.8395242139318572,0.3435935742957966,0.32848832271762207,1.3496277423920735
Syagrus coronata,Bilayer Resin,120.0,7,1.2632061470023253,1.6520636603145769,0.06799858457183297,4.711544232130219
Syagrus coronata,Bilayer Resin,150.0,0,,,,
Typha domingensis,Untreated,30.0,5,10.065630290162774,2.430449862351712,7.859920736022647,14.042492569002123
Typha domingensis,Untreated,60.0,7,5.696728743301991,3.2800369638435316,0.8100523708421797,9.915639065817409
Typha domingensis,Untreated,90.0,7,5.638418562329391,3.984236135990965,1.793650389242746,13.579314932767161
Typha domingensis,Untreated,120.0,7,6.731941360833081,4.5863690067387415,1.5353078556263269,13.079305024769992
Typha domingensis,Untreated,150.0,0,,,,
Typha domingensis,Monolayer Resin,30.0,5,9.361100353857042,4.3623383973797445,2.272559094125973,13.223678697806086
Typha domingensis,Monolayer Resin,60.0,7,6.399325851784449,2.144067839803654,3.6519844302901623,9.706100495399857
Typha domingensis,Monolayer Resin,90.0,7,3.44942432514407,1.9880526220293322,0.8869497523000708,6.722215145081386
Typha domingensis,Monolayer Resin,120.0,7,1.905307653422303,1.092570731392555,0.5145279547062986,3.933203113941967
Typha domingensis,Monolayer Resin,150.0,0,,,,
Typha domingensis,Bilayer Resin,30.0,5,8.969906864826608,3.5642596246979052,5.830600141542816,14.26834253361642
Typha domingensis,Bilayer Resin,60.0,7,6.735933879284198,2.3364150740494503,2.2427147912243455,9.61796178343949
Typha domingensis,Bilayer Resin,90.0,6,4.526103798065582,1.8107908839629112,2.49897381457891,6.65185279547063
Typha domingensis,Bilayer Resin,120.0,7,5.151549893842888,1.8622371909864255,1.5307077140835104,6.8573474876150025
Typha domingensis,Bilayer Resin,150.0,0,,,,
