term,coef,se_hc3,t_hc3,p_hc3
Intercept,6.765819023459634,0.8000619908158767,8.45661848847497,3.0192169872783257e-14
"C(Species, Treatment(reference=""Typha domingensis""))[T.Syagrus coronata]",-6.330497805431866,1.2014866240905777,-5.268887458671053,4.987859632780927e-07
"C(Treatment_Level, Treatment(reference=""Untreated""))[T.Monolayer Resin]",-1.902251693388388,0.935587451593211,-2.0332163392626157,0.043893653713481216
"C(Treatment_Level, Treatment(reference=""Untreated""))[T.Bilayer Resin]",-0.6291205977588632,0.9445312038251202,-0.6660665049614864,0.5064492094863587
"C(Species, Treatment(reference=""Typha domingensis""))[T.Syagrus coronata]:C(Treatment_Level, Treatment(reference=""Untreated""))[T.Monolayer Resin]",8.041626296714416,2.1645541624464375,3.7151421000366898,0.00029121318795634343
"C(Species, Treatment(reference=""Typha domingensis""))[T.Syagrus coronata]:C(Treatment_Level, Treatment(reference=""Untreated""))[T.Bilayer Resin]",5.8657843549920505,1.7573864893818323,3.337788466244192,0.0010783690903063583
Days_c,-0.0280900279715572,0.025052097502135936,-1.1212645156423429,0.26406788063724396
"Days_c:C(Species, Treatment(reference=""Typha domingensis""))[T.Syagrus coronata]",-0.1779993267392917,0.0565246579586807,-3.1490562378884004,0.001997194159451803
"Days_c:C(Treatment_Level, Treatment(reference=""Untreated""))[T.Monolayer Resin]",-0.05528405103725891,0.03147580076198544,-1.7563985569519691,0.08117611004809724
"Days_c:C(Treatment_Level, Treatment(reference=""Untreated""))[T.Bilayer Resin]",-0.01491257106909836,0.03072578893949837,-0.4853437969798742,0.628180462121809
"Days_c:C(Species, Treatment(reference=""Typha domingensis""))[T.Syagrus coronata]:C(Treatment_Level, Treatment(reference=""Untreated""))[T.Monolayer Resin]",0.11792984760805908,0.0720555906901967,1.636650903537783,0.10391784396917723
"Days_c:C(Species, Treatment(reference=""Typha domingensis""))[T.Syagrus coronata]:C(Treatment_Level, Treatment(reference=""Untreated""))[T.Bilayer Resin]",0.018695318883826167,0.07495656908909107,0.24941534959538353,0.8033999359172983
